2020-10-16/11:47:09		Start of Validation on files!!
2020-10-16/11:47:22		Raw Data Validation Complete!!
2020-10-16/11:47:22		Starting Data Transforamtion!!
2020-10-16/11:47:36		DataTransformation Completed!!!
2020-10-16/11:47:36		Creating Training_Database and tables on the basis of given schema!!!
2020-10-16/11:47:50		Table creation Completed!!
2020-10-16/11:47:50		Insertion of Data into Table started!!!!
2020-10-16/11:48:03		Insertion in Table completed!!!
2020-10-16/11:48:03		Deleting Good Data Folder!!!
2020-10-16/11:48:03		Good_Data folder deleted!!!
2020-10-16/11:48:03		Moving bad files to Archive and deleting Bad_Data folder!!!
2020-10-16/11:48:03		Bad files moved to archive!! Bad folder Deleted!!
2020-10-16/11:48:03		Validation Operation completed!!
2020-10-16/11:48:03		Extracting csv file from table
